ID,RANK,SYMBOL,NAME,PRICE(USD)
bitcoin,1,BTC,Bitcoin,26544.8274584276971206
ethereum,2,ETH,Ethereum,1637.3116544032668171
tether,3,USDT,Tether,1.0005140650983525
binance-coin,4,BNB,BNB,214.0285194059452300
usd-coin,5,USDC,USD Coin,1.0003529385629487
xrp,6,XRP,XRP,0.5004054127454254
cardano,7,ADA,Cardano,0.2501118716445475
dogecoin,8,DOGE,Dogecoin,0.0621677812023661
solana,9,SOL,Solana,19.0131817955570005
tron,10,TRX,TRON,0.0837779980377841
multi-collateral-dai,11,DAI,Multi Collateral DAI,1.0026590461550356
polkadot,12,DOT,Polkadot,4.1590322556439859
polygon,13,MATIC,Polygon,0.5281039819505134
litecoin,14,LTC,Litecoin,64.7006659805809907
shiba-inu,15,SHIB,Shiba Inu,0.0000073920205180
wrapped-bitcoin,16,WBTC,Wrapped Bitcoin,26552.9154388670079307
bitcoin-cash,17,BCH,Bitcoin Cash,214.5006888380598371
chainlink,18,LINK,Chainlink,6.2216188624093078
unus-sed-leo,19,LEO,UNUS SED LEO,3.6561181220148151
avalanche,20,AVAX,Avalanche,9.4154511198214349
stellar,21,XLM,Stellar,0.1186447391404906
trueusd,22,TUSD,TrueUSD,0.9994967999238286
monero,23,XMR,Monero,144.6556056193292640
okb,24,OKB,OKB,42.8404510464648426
uniswap,25,UNI,Uniswap,4.3227283579405046
binance-usd,26,BUSD,Binance USD,1.0003272001169547
ethereum-classic,27,ETC,Ethereum Classic,15.5454293138444617
cosmos,28,ATOM,Cosmos,7.0894008037005316
filecoin,29,FIL,Filecoin,3.3490879473874647
bitcoin-bep2,30,BTCB,Bitcoin BEP2,26525.9472173209756908
lido-dao,31,LDO,Lido DAO,1.5286870823903839
internet-computer,32,ICP,Internet Computer,2.9909119089220472
crypto-com-coin,33,CRO,Crypto.com Coin,0.0510888722291656
vechain,34,VET,VeChain,0.0176393685808701
maker,35,MKR,Maker,1274.8536210928090651
quant,36,QNT,Quant,91.2009020454560650
near-protocol,37,NEAR,NEAR Protocol,1.1253671003590811
aave,38,AAVE,Aave,58.9573168500272136
the-graph,39,GRT,The Graph,0.0858833540419901
hedera-hashgraph,40,HBAR,Hedera Hashgraph,0.0509084332598047
algorand,41,ALGO,Algorand,0.0957586016770827
axie-infinity,42,AXS,Axie Infinity,4.7142893501301113
stacks,43,STX,Stacks,0.4704096080009796
xinfin-network,44,XDC,XinFin Network,0.0536966114815071
tezos,45,XTZ,Tezos,0.6798975208673505
the-sandbox,46,SAND,The Sandbox,0.3076438073955331
eos,47,EOS,EOS,0.5747515837552238
thorchain,48,RUNE,THORChain,1.8741274823876246
theta,49,THETA,THETA,0.6159070221944422
bitcoin-sv,50,BSV,Bitcoin SV,31.4123307203676037
elrond-egld,51,EGLD,MultiversX,25.0168667876719817
render-token,52,RNDR,Render Token,1.5871583759691353
decentraland,53,MANA,Decentraland,0.2978809562766079
fantom,54,FTM,Fantom,0.1953160565114031
injective-protocol,55,INJ,Injective,7.2253878815510735
kava,56,KAVA,Kava,0.6828462931260379
neo,57,NEO,Neo,7.3239878053456476
synthetix-network-token,58,SNX,Synthetix,2.1874531515150749
paxos-standard,59,USDP,Pax Dollar,1.0002138657148726
flow,60,FLOW,Flow,0.4621731823967589
ecash,61,XEC,eCash,0.0000236195944494
iota,62,MIOTA,IOTA,0.1573854272354750
chiliz,63,CHZ,Chiliz,0.0589571307738602
zcash,64,ZEC,Zcash,26.1642141410711029
kucoin-token,65,KCS,KuCoin Token,4.2954001151526710
conflux-network,66,CFX,Conflux,0.1221450450450805
frax-share,67,FXS,Frax Share,5.3804077314780158
huobi-token,68,HT,Huobi Token,2.4000610960945322
klaytn,69,KLAY,Klaytn,0.1199329119349890
curve-dao-token,70,CRV,Curve DAO Token,0.4320292789863569
casper,71,CSPR,Casper,0.0333302955717088
gatetoken,72,GT,GateToken,3.9016083287380677
mina,73,MINA,Mina,0.3821516404746648
fei-protocol,74,FEI,Fei Protocol,0.8562187873127626
gala,75,GALA,Gala,0.0146441169062364
ftx-token,76,FTT,FTX Token,1.0417136142010823
trust-wallet-token,77,TWT,Trust Wallet Token,0.8074924656718444
compound,78,COMP,Compound,40.1941733713228930
dydx,79,DYDX,dYdX,1.9866314217038557
dash,80,DASH,Dash,26.7719900680824018
wootrade,81,WOO,WOO Network,0.1695516502139966
arweave,82,AR,Arweave,4.4009598091139994
oasis-network,83,ROSE,Oasis Network,0.0406043115045074
gnosis-gno,84,GNO,Gnosis,102.3903393329184891
pancakeswap,85,CAKE,PancakeSwap,1.1696325175270710
1inch,86,1INCH,1inch Network,0.2533811479213297
zilliqa,87,ZIL,Zilliqa,0.0164963709612896
basic-attention-token,88,BAT,Basic Attention Token,0.1756251816072271
loopring,89,LRC,Loopring,0.1806451683886399
qtum,90,QTUM,Qtum,2.2123349989953997
nem,91,XEM,NEM,0.0256746874057419
enjin-coin,92,ENJ,Enjin Coin,0.2307433696300391
celo,93,CELO,Celo,0.4432456467045419
aelf,94,ELF,aelf,0.3522030294627002
singularitynet,95,AGIX,SingularityNET,0.1825137780710247
mask-network,96,MASK,Mask Network,2.6333936012837305
convex-finance,97,CVX,Convex Finance,2.6098432332565764
decred,98,DCR,Decred,13.4457561541200438
helium,99,HNT,Helium,1.4185881817993859
theta-fuel,100,TFUEL,Theta Fuel,0.0324038219369745
